date,MOEXBC,RTSI,USD,EUR,BRENT,v_0_25,v_0_5,v_0_75,v_1,v_2,v_3,v_5,v_7,v_10,v_15,v_20,v_30,SU26207RMFS9,SU26212RMFS9,SU26224RMFS4,SU26225RMFS1,SU26228RMFS5,GAZP,GMKN,LKOH,MGNT,MTSS,NVTK,ROSN,SBER,TRNFP,YNDX
2020-01-14,21295.55,1604.96,60.9474,67.8162,64.48999786376953,5.36,5.38,5.41,5.44,5.58,5.71,5.93,6.11,6.3,6.5,6.63,6.76,112.645,106.694,106.293,109.699,111.9,250.0,20000.0,6520.5,3339.0,317.3,1259.0,475.5,259.05,177700.0,2685.0
2020-01-15,21310.72,1602.29,61.414,68.4213,64.0,5.41,5.42,5.44,5.46,5.58,5.7,5.91,6.09,6.29,6.5,6.62,6.75,112.489,106.205,105.85,109.5,111.6,251.3,20396.0,6552.5,3440.0,318.65,1260.0,474.5,256.31,176850.0,2690.0
2020-01-16,21500.64,1612.72,61.4328,68.3747,64.62000274658203,5.3,5.33,5.37,5.41,5.56,5.67,5.88,6.06,6.25,6.45,6.56,6.67,112.456,106.535,106.105,109.53,111.6,254.26,20900.0,6590.0,3625.0,319.8,1264.0,480.95,257.51,178000.0,2719.8
2020-01-21,21835.38,1634.32,61.4654,68.2082,64.58999633789062,5.39,5.4,5.42,5.44,5.56,5.68,5.89,6.06,6.25,6.44,6.54,6.65,112.615,106.599,106.244,109.6,111.55,252.99,21450.0,6708.5,3840.0,328.7,1242.0,486.15,268.06,178400.0,2770.0
2020-01-22,21589.08,1612.87,61.8552,68.6222,63.209999084472656,5.36,5.39,5.42,5.45,5.56,5.65,5.86,6.05,6.25,6.45,6.56,6.67,112.61,106.649,106.224,109.62,111.748,248.1,21310.0,6655.5,3750.0,333.8,1196.8,478.15,266.54,178050.0,2790.0
2020-01-23,21313.48,1596.11,61.8343,68.5186,62.040000915527344,5.36,5.4,5.43,5.45,5.54,5.63,5.85,6.05,6.26,6.47,6.58,6.7,112.579,106.65,106.25,109.558,111.751,239.3,21146.0,6590.0,3702.5,329.95,1212.4,473.1,263.73,178000.0,2820.2
2020-01-28,21114.46,1572.23,62.338,68.7775,59.5099983215332,5.19,5.26,5.32,5.37,5.53,5.65,5.89,6.1,6.32,6.54,6.66,6.79,112.299,106.206,105.9,109.07,111.195,235.0,21282.0,6650.0,3751.0,327.25,1168.2,477.7,257.7,171200.0,2799.8
2020-01-29,21207.9,1570.65,62.8299,69.226,59.810001373291016,5.02,5.12,5.21,5.29,5.51,5.65,5.92,6.14,6.35,6.55,6.66,6.77,112.399,106.325,106.085,109.359,111.378,232.0,21230.0,6633.0,3819.5,328.5,1199.0,481.7,259.94,168500.0,2890.0
2020-01-30,21020.96,1544.55,62.3934,68.6764,58.290000915527344,4.97,5.08,5.18,5.27,5.51,5.67,5.95,6.16,6.36,6.53,6.62,6.7,112.234,106.38,105.98,109.049,111.15,231.53,20880.0,6443.5,3830.0,330.5,1193.6,481.2,257.31,167600.0,2888.0
2020-02-04,20932.79,1547.19,63.9091,70.7921,53.959999084472656,5.0,5.1,5.19,5.28,5.5,5.64,5.89,6.09,6.28,6.44,6.51,6.58,112.48,106.446,105.999,109.201,111.199,230.5,20898.0,6500.0,3750.0,332.95,1143.6,480.0,255.4,166000.0,2990.0
